"country","year","co2","co2_per_capita","coal_co2","oil_co2","gas_co2","total_fossil_co2","yoy_growth_percent"
Indonesia,1995,222.225296,1.111748695,25.17900848,109.7148132,64.57433319,199.46815487,
Indonesia,1996,252.8557434,1.244342208,27.56060791,121.3077087,78.99217224,227.86048885000002,13.78351067648033
Indonesia,1997,279.6956177,1.354221463,29.38894463,140.5473785,82.04062653,251.97694966,10.61469830152967
Indonesia,1998,244.3153229,1.164366722,32.07416916,141.0362091,48.02698135,221.13735961,-12.649570662186315
Indonesia,1999,291.7706604,1.369785309,37.16347122,148.1006165,83.65170288,268.9157906,19.42380728998475
Indonesia,2000,281.0544434,1.300709486,50.90601349,156.8118744,48.59196854,256.30985642999997,-3.672821998383485
Indonesia,2001,316.7593689,1.445743442,64.62856293,164.0702515,61.16315079,289.86196522,12.70391781324173
Indonesia,2002,308.2013245,1.38774097,66.66522217,156.8411865,59.76350403,283.26991269999996,-2.701749416195414
Indonesia,2003,339.0238953,1.506451488,89.48968506,162.4452057,62.6609993,314.59589006,10.000791154938723
Indonesia,2004,342.7086182,1.503591657,82.2161026,173.89534,61.88563538,317.99707798000003,1.0868622982280969
Indonesia,2005,347.3612671,1.504564524,94.22208405,174.7544861,54.45070267,323.42727282000004,1.3576107086063443
Indonesia,2006,346.3657532,1.480501413,111.6405182,152.4993439,57.4258728,321.5657349,-0.2865932371537139
Indonesia,2007,387.57724,1.634917021,140.0659943,166.2246857,57.07779312,363.36847312000003,11.898256804910945
Indonesia,2008,365.3840332,1.521432519,121.8445435,158.3031158,60.31310272,340.46076202,-5.726137788689563
Indonesia,2009,398.6244202,1.638945699,128.2742004,181.2602386,64.54082489,374.07526389000003,9.09738356897638
Indonesia,2010,445.3700867,1.80820322,152.666687,195.6705627,73.73003387,422.06728357000003,11.726744306469367
Indonesia,2011,500.4576721,2.00608325,181.2809906,211.3285217,81.55331421,474.16282651,12.368945972140887
Indonesia,2012,515.7695923,2.041047096,187.1713257,218.7774353,80.06206512,486.01082612,3.0595834680181286
Indonesia,2013,493.4351196,1.928592443,164.219223,234.0819702,64.75387573,463.05506893,-4.330319784926179
Indonesia,2014,498.0288086,1.92380178,173.5843048,230.7606964,62.41677856,466.76177976,0.9309610965112958
Indonesia,2015,551.1600342,2.105277538,197.8152466,228.3608246,94.25206757,520.42813877,10.668303656841921
Indonesia,2016,547.9688721,2.070718527,206.3278961,217.0238037,91.18656158,514.53826138,-0.5789901121245054
Indonesia,2017,570.9281616,2.13553524,221.0932617,231.027771,84.33853149,536.45956419,4.189889365797783
Indonesia,2018,607.3783569,2.249950886,262.2221375,225.5168152,84.14789581,571.8868485099999,6.384375084572816
Indonesia,2019,665.0493164,2.440643072,315.4006958,226.217865,87.90990448,629.52846528,9.495063306889456
Indonesia,2020,623.3040161,2.26808691,300.5178528,208.254425,81.21622467,589.98850247,-6.27702326287211
Indonesia,2021,632.9460449,2.287001371,303.1535645,211.7657013,83.7594986,598.6787644,1.54692229649504
Indonesia,2022,758.0205078,2.718570709,404.5727234,237.3978882,84.01021576,725.9808273599999,19.760683222179036
Indonesia,2023,762.3575439,2.711182356,399.0505981,237.2219696,91.63607788,727.90864558,0.5721528712445183
Indonesia,2024,812.2202148,2.865096331,436.1168823,243.1833801,99.70082092,779.0010833199999,6.54058863835951
Thailand,1995,153.6500244,2.599909067,30.33856964,88.77745819,18.95572472,138.07175255,
Thailand,1996,173.5658112,2.896622896,36.7772789,96.91549683,22.27025223,155.96302796,12.961785640953016
Thailand,1997,181.2027283,2.984009266,38.02402115,95.44010162,28.14782715,161.61194992,4.400012333765405
Thailand,1998,159.7040253,2.595858335,30.63680077,85.41478729,30.14591408,146.19750214,-11.864447738560887
Thailand,1999,167.2347107,2.684386492,32.37297058,84.65370178,33.8563385,150.88301086,4.715401121451872
